排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,配送方式,商品链接,完整详情
1,B00NABTG60,Amazon Basics 狗狗粪便袋 带分配器 黑色 600只（40卷）改进防漏 无香 含牵引绳夹,Amazon Basics,4.9,248930,273.59,197563,评论数推算(评论率1.2%),2017-09-11,105,7,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
2,B0153V4AOM,Nupec成年小型犬狗粮，含Omega 3和6，8公斤装,Nupec,4.8,15659,1192.0,10038,评论数推算(评论率1.2%),2015-09-01,130,1,GOLVIX,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0153V4AOM,True
3,B08JSG74RV,Ganador Premium Superfoods 20公斤，中大型成年犬粮,Ganador,4.6,2861,985.0,3455,评论数推算(评论率1.2%),2020-09-22,69,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
4,B07DCJ8B3S,赢家Premium干狗粮15kg,Ganador,4.8,1624,654.72,5413,评论数推算(评论率1.2%),2024-05-09,25,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
5,B0153V49XO,Nupec成年小型犬狗粮，含Omega 3和6，2公斤装,Nupec,4.8,8463,363.0,5425,评论数推算(评论率1.2%),2015-09-01,130,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
6,B0CYXKNB1Y,MESVIER 狗狗胸背带牵引绳1.5m，可调节反光透气，防爆冲，适合中小大型犬，散步旅行训练配件,MESVIER,4.7,9418,249.0,30186,评论数推算(评论率1.2%),2024-04-13,26,27,MESVIER,品牌方(中国),中国,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
7,B01N30FXOM,普瑞纳成犬小型迷你犬粮牛肉鸡肉味7.5公斤,Dog Chow,4.8,4856,349.0,3581,评论数推算(评论率1.2%),2017-01-24,113,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
8,B09R93SSD5,普瑞纳Beneful成年犬通用型健康光彩鲑鱼味10kg,Purina,4.8,4259,599.0,6697,评论数推算(评论率1.2%),2022-01-26,53,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
9,B0153V41AU,Nupec 成年犬粮含Omega-3和Omega-6 - 1包 x 15公斤,Nupec,4.8,7936,1720.0,5087,评论数推算(评论率1.2%),2015-09-01,130,1,Abarrotes El Tenayo,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0153V41AU,True
10,B01N0AG6OF,Ganador Premium 幼犬粮 20kg，中大型犬。包装可能不同。,Ganador,4.7,4725,889.0,3424,评论数推算(评论率1.2%),2016-11-08,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
11,B0DM9Q93RR,Fancy Pets 三文鱼油 犬猫专用 Medical Solutions 490ml | 含DHA和EPA的Omega-3 | 健康皮肤、亮丽毛发、强健免疫系统的补充剂,Medical Solutions,4.5,1939,274.68,8504,评论数推算(评论率1.2%),2024-11-07,19,2,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,True
12,B0153V7ZTO,普瑞纳狗粮 成犬 中大型犬 牛肉鸡肉味 7.5公斤,Dog Chow,4.8,4078,349.0,2955,评论数推算(评论率1.2%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
13,B01MQFPHMN,佳诺Premium成犬粮20kg，小型犬，黑色。包装可能有所不同。,Ganador,4.7,2535,899.0,1837,评论数推算(评论率1.2%),2016-11-08,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
14,B018M8AR90,Dry Pet 狗狗训练垫 30片,Dry Pet,4.6,3740,159.81,2576,评论数推算(评论率1.2%),2016-05-06,121,5,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
15,B07XZHXZW4,HI MULTI PRO 成年犬高级食品 25kg，含益生菌和高生物价值蛋白,HI MULTI PRO,4.6,6514,1154.0,4241,评论数推算(评论率1.2%),2015-10-07,128,3,ALBAPESA,第三方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
16,B0CF63JSS9,Dogelthy 纯三文鱼油 450毫升，每份含300毫克EPA+DHA的Omega-3狗用鱼油补充剂，适用于狗粮或生骨肉饮食。,Dogelthy,4.7,2970,569.0,7279,评论数推算(评论率1.2%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
17,B01FKNX3FU,Ganador成犬小型犬粮20kg蓝色,Ganador,4.8,1507,789.0,1092,评论数推算(评论率1.2%),2016-11-24,115,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
18,B0CF4BLG83,Dogelthy Mobility. 狗狗关节保护补充剂，含葡萄糖胺、软骨素和II型胶原蛋白UCII粉末，可用于狗粮或生骨肉饮食，270克（鱼味）。,Dogelthy,4.6,2064,1067.0,5059,评论数推算(评论率1.2%),2023-08-09,34,3,Dogelthy,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
19,B0CK32S653,Waggys 天然狗零食，柔软无谷物高蛋白，甘薯三文鱼味，美味健康，训练佳选，100块软嚼,Waggys,4.6,601,149.0,1518,评论数推算(评论率1.2%),2023-09-28,33,2,Waggy´s!,品牌方(墨西哥),墨西哥,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
20,B0CXYTC8WM,赢家狗干粮20kg,Ganador,4.7,1634,638.67,5043,评论数推算(评论率1.2%),2024-03-13,27,1,Amazon México,亚马逊自营,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
