排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量估算,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B00NABTG60,亚马逊倍思狗粪便袋，带分配器，黑色，600个（40卷），改进防漏，无香，含皮带夹,Amazon Basics,4.9,248929,273.59,300,亚马逊官方(上月购买量),9/11/2017,105,7,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,TRUE
2,B0153V4AOM,Nupec成年小型犬狗粮，含Omega 3和6，8公斤装,Nupec,4.8,15659,1199.38,7000,亚马逊官方(上月购买量),9/1/2015,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,TRUE
3,B08JSG74RV,Ganador Premium Superfoods 20公斤，中大型成年犬粮,Ganador,4.6,2861,985,5000,亚马逊官方(上月购买量),9/22/2020,69,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,TRUE
4,B07DCJ8B3S,优胜者高级狗干粮15kg,Ganador,4.8,1624,654.72,3000,亚马逊官方(上月购买量),5/9/2024,25,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,TRUE
5,B0153V49XO,Nupec 狗粮，成年小型犬，含 Omega 3 和 6，2 公斤装,Nupec,4.8,8463,363,4000,亚马逊官方(上月购买量),9/1/2015,130,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,TRUE
6,B0CYXKNB1Y,MESVIER 犬用胸背带（中小大型）含1.5米牵引绳，可调节反光透气防爆冲，散步旅行训练配件,MESVIER,4.7,9418,249,400,亚马逊官方(上月购买量),4/13/2024,26,27,MESVIER,品牌方(中国),中国,中国/518104/广东/宝安区/深圳/民主社区蚝三民主丰泽园5、6、7、8、9栋7栋1402/沙井街道,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,TRUE
7,B01N30FXOM,普瑞纳成犬迷你小型犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4856,349,5000,亚马逊官方(上月购买量),1/24/2017,113,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,TRUE
8,B09R93SSD5,普瑞纳 Beneful 成年犬全犬种亮丽健康三文鱼味狗粮10公斤,Purina,4.8,4259,599,2000,亚马逊官方(上月购买量),1/26/2022,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,TRUE
9,B01N0AG6OF,Ganador Premium 幼犬粮 20kg，中大型犬种，包装可能有所不同。,Ganador,4.7,4725,889,3000,亚马逊官方(上月购买量),11/8/2016,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,TRUE
10,B0153V41AU,Nupec成犬粮含Omega 3和6 15公斤装,Nupec,4.8,7936,1720,4000,亚马逊官方(上月购买量),9/1/2015,130,1,Abarrotes El Tenayo,第三方(墨西哥),墨西哥,墨西哥/54910/墨西哥/图尔蒂特兰/埃斯梅拉达别墅/巴伊亚波托贝罗街 S/N MZ 27 LOTE 3,FBA,https://www.amazon.com.mx/dp/B0153V41AU,TRUE
11,B0DM9Q93RR,Fancy Pets 三文鱼油 犬猫专用 490ml | Medical Solutions | 含Omega 3 DHA和EPA | 健康皮肤、亮泽毛发、强健免疫系统补充剂,Medical Solutions,4.5,1939,274.68,1000,亚马逊官方(上月购买量),11/7/2024,19,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0DM9Q93RR,TRUE
12,B0153V7ZTO,Purina Dog Chow 成犬粮，中大型犬，牛肉鸡肉味，7.5公斤,Dog Chow,4.8,4078,349,2000,亚马逊官方(上月购买量),11/24/2016,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,TRUE
13,B01MQFPHMN,Ganador Premium 成年犬粮20kg，小型犬种，黑色。包装可能不同。,Ganador,4.7,2535,899,4000,亚马逊官方(上月购买量),11/8/2016,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,TRUE
14,B07XZHXZW4,HI MULTI PRO 优质成年犬粮25kg，含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6514,1154,1000,亚马逊官方(上月购买量),10/7/2015,128,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/佩尼亚莫/KM 63 伊拉普阿托-拉彼达公路,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,TRUE
15,B018M8AR90,狗训练垫30片装,Dry Pet,4.6,3740,159.81,1000,亚马逊官方(上月购买量),5/6/2016,121,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,TRUE
16,B0CF63JSS9,Dogelthy纯三文鱼油450毫升，每份含300毫克EPA+DHA的狗用Omega-3鱼油补充剂，适用于狗粮或生骨肉饮食。,Dogelthy,4.7,2970,569,2000,亚马逊官方(上月购买量),8/9/2023,34,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/五月五日街 #15 内部6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,TRUE
17,B01FKNX3FU,甘纳多成年小型犬粮，20kg，蓝色,Ganador,4.8,1507,789,1000,亚马逊官方(上月购买量),11/24/2016,115,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,TRUE
18,B0CF4BLG83,Dogelthy Mobility 犬用关节保护粉 含葡萄糖胺、软骨素和II型胶原蛋白UCII 狗粮或生食补充剂 270g（鱼肉味）,Dogelthy,4.6,2064,1067,1000,亚马逊官方(上月购买量),8/9/2023,34,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/5月5日街15号内6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,TRUE
19,B0CK32S653,Waggys Bites 天然狗零食 柔软无谷物高蛋白 红薯三文鱼 美味可口 宠物健康零食 训练理想 100粒软嚼,Waggys,4.6,601,149,1000,亚马逊官方(上月购买量),9/28/2023,33,2,Waggy´s!,品牌方(墨西哥),墨西哥,墨西哥/44520/哈利斯科/瓜达拉哈拉/拉萨罗·卡德纳斯 3454,FBA,https://www.amazon.com.mx/dp/B0CK32S653,TRUE
20,B0CXYTC8WM,胜利者干狗粮20kg,Ganador,4.7,1634,638.67,4000,亚马逊官方(上月购买量),3/13/2024,27,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,TRUE
21,B071HPBSHV,Amazon Basics - 公狗纸尿裤，30片装，小号，超强吸收性一次性包裹，安全贴合，防漏舒适,Amazon Basics,4.5,32169,364.9,700,亚马逊官方(上月购买量),10/23/2017,104,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,TRUE
22,B09R916GQ3,WeTap普瑞纳宝路成犬原味牛肉10公斤,WeTap,4.8,2618,622.5,2000,亚马逊官方(上月购买量),1/26/2022,53,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,TRUE
23,B07PY5FGR1,Cloralex宠物除臭液3.75升,Cloralex,4.8,2449,85,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,TRUE
24,B076VYPJJT,Amazon Basics 狗屎袋带分配器，540个装，改进防漏，薰衣草香味，含牵引绳夹,Amazon Basics,4.9,65559,274.9,200,亚马逊官方(上月购买量),1/11/2025,17,11,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B076VYPJJT,TRUE
25,B0153V43UI,Nupec狗粮，成犬，含Omega 3和6，5公斤装,Nupec,4.8,3992,659,600,亚马逊官方(上月购买量),9/1/2015,130,3,Tienda Mascota MX,第三方(墨西哥),墨西哥,墨西哥/......../......../......../............/........,FBA,https://www.amazon.com.mx/dp/B0153V43UI,TRUE
26,B003CL6Q84,希尔思科学膳食成年小型及迷你犬鸡肉味狗粮7千克，帮助构建长期健康基础，呵护皮肤和毛发,Hill's Science Diet,4.8,25138,1248,1000,亚马逊官方(上月购买量),7/8/2013,155,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,TRUE
27,B01N30FZTO,Purina Dog Chow 中大型幼犬粮 牛肉鸡肉水果味 7.5kg,Dog Chow,4.8,2223,439,900,亚马逊官方(上月购买量),5/25/2019,85,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FZTO,TRUE
28,B00MW8G3YU,Amazon Basics 宠物尿垫，5层防漏速干设计，适用于训练，55.9 x 55.9 厘米（标准），50片装，蓝白配色,Amazon Basics,4.5,216864,429.9,600,亚马逊官方(上月购买量),1/11/2025,17,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00MW8G3YU,TRUE
29,B0118VV13O,希尔思天然训练软嚼狗零食，90克,Hill's,4.7,3882,88,500,亚马逊官方(上月购买量),6/24/2016,120,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0118VV13O,TRUE
30,B01FUDI7OC,Nupec 狗粮，体重控制，针对超重或肥胖犬只的营养配方，15公斤装。,Nupec,4.8,3927,2236.88,1000,亚马逊官方(上月购买量),5/18/2016,121,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FUDI7OC,TRUE
31,B01FUDI7F6,Nupec老年犬狗粮，15公斤装,Nupec,4.8,5167,1959,1000,亚马逊官方(上月购买量),5/18/2016,121,3,Amikoo Peek,第三方(墨西哥),墨西哥,"墨西哥/52927/墨西哥州/阿蒂萨潘德萨拉戈萨/马林切 50, 圣米格尔索奇曼加社区",FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,TRUE
32,B08TH7LVQK,狗床，耐用舒适，柔软填充，尺寸颜色可选（小号，黑色/灰色）,PETS APPAREL HILLS,4.6,10330,299,200,亚马逊官方(上月购买量),1/20/2021,65,49,I Jacket,第三方(墨西哥),墨西哥,墨西哥/06090/墨西哥城/夸乌特莫克/内萨瓦尔科约特尔/158号公寓202,FBA,https://www.amazon.com.mx/dp/B08TH7LVQK,TRUE
33,B0153V3ZEI,Nupec成犬幼犬狗粮，含维生素E和硒，5公斤装。,Nupec,4.8,9474,723,200,亚马逊官方(上月购买量),9/1/2015,130,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V3ZEI,TRUE
34,B0DHTXCNJ3,春之花 专业2合1猫狗美容梳，轻松去除毛结与缠结，安全宠物梳（柠檬黄）,Spring Blossoms,4.7,4176,297.99,50,亚马逊官方(上月购买量),9/24/2024,21,5,GoodHappens,第三方(中国),中国,中国/361000/福建/厦门市/205-11室之三/火炬高新区软件园二期观日路8号,FBA,https://www.amazon.com.mx/dp/B0DHTXCNJ3,TRUE
35,B07GV57JYJ,PetLovers 450张粘毛纸套装 超粘粘毛滚筒 宠物除毛滚筒 5件装,PetLovers,4.7,36392,379,100,亚马逊官方(上月购买量),,,6,PetLovers MX,品牌方(美国),美国,美国/33702/佛罗里达/圣彼得堡/7901 第4街北 套房300,FBA,https://www.amazon.com.mx/dp/B07GV57JYJ,TRUE
36,B01FVRF920,Barkys 80136100614 肉干棒 1千克，1支，小号,BARKYS,4.8,1543,259,1000,亚马逊官方(上月购买量),5/19/2016,121,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,TRUE
37,B0GTX2FQ24,官方FIFA墨西哥狗狗T恤 XS号,FIFA,3.3,13,179,361,评论数推算(评论率1.2%),3/25/2026,3,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0GTX2FQ24,TRUE
38,B0088LIINY,Earth Rated 狗狗粪便袋 120袋（8卷）薰衣草味,Earth Rated,4.9,199401,165,1000,亚马逊官方(上月购买量),,,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0088LIINY,TRUE
39,B07TGKCWWP,Dry Pet 狗狗尿布小号12片,Fancy Pets,4.5,1454,131.53,400,亚马逊官方(上月购买量),6/25/2019,84,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,TRUE
40,B0BQX4HLCS,Raganet 小型和中型宠物便携围栏，58厘米高×78厘米长，牛津布防水，室内外通用，安全耐用（灰色）,Raganet,4.6,1028,219,800,亚马逊官方(上月购买量),12/23/2022,42,2,Raga Basics,第三方(墨西哥),墨西哥,墨西哥/52790/墨西哥州/惠克斯基卢坎德戈利亚多/多斯里奥斯/比森特·格雷罗大道,FBA,https://www.amazon.com.mx/dp/B0BQX4HLCS,TRUE
41,B09232RF2N,完美感觉老年3kg,Perfect Sense,4.7,703,389,300,亚马逊官方(上月购买量),9/17/2019,81,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09232RF2N,TRUE
42,B0DF4TZZ82,Dogelthy 100%天然脱水鸡爪 无防腐剂无人工调味料狗零食 幼犬成犬老年犬零食 10只装,Dogelthy,4.5,275,239,400,亚马逊官方(上月购买量),8/23/2024,22,4,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安德奥科坦/五月五日 #15 Interior 6,FBA,https://www.amazon.com.mx/dp/B0DF4TZZ82,TRUE
43,B09Z6QHGTG,LED灯狗猫指甲剪：照亮指甲或血线，安全修剪。超锋利刀片适合厚指甲，快速感应防过度修剪。适合狗猫。,Elvess,4.7,1648,195.65,800,亚马逊官方(上月购买量),4/29/2022,50,1,elvess,品牌方(墨西哥),墨西哥,墨西哥/518000/广东/深圳/龙岗区龙城街道爱联社区金华街73号301,FBA,https://www.amazon.com.mx/dp/B09Z6QHGTG,TRUE
44,B07PSK15Y2,Nupec 小型犬老年犬干狗粮 8kg,Nupec,4.8,4238,1504.55,1000,亚马逊官方(上月购买量),3/18/2019,87,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PSK15Y2,TRUE
45,B01M8G9HYE,Nupec PENU7138 - AAAAAA 狗狗放松零食，180克（包装可能不同）,Nupec,4.6,5388,113,1000,亚马逊官方(上月购买量),11/2/2016,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01M8G9HYE,TRUE
46,B018TYLZU2,Fancy Pets 狗狗训练垫 Doggie Grass GDE 带托盘和格栅的人造草皮 气味控制易清洁,Fancy Pets,4.4,10015,448.8,800,亚马逊官方(上月购买量),12/2/2015,127,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018TYLZU2,TRUE
