排名,ASIN编号,商品名称,品牌,评分,评论数,价格(墨西哥比索),月销量,销量依据,上架时间,在售月数,变体数量,卖家,卖家类型,卖家所在地,卖家详细地址,配送方式,商品链接,完整详情
1,B07DCJ8B3S,Ganador Premium 成犬干粮 15kg,Ganador,4.8,1674,659.0,5000,亚马逊官方(上月购买量),2024-05-09,26,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07DCJ8B3S,True
2,B0153V4AOM,Nupec 成犬小型犬粮，含欧米伽3和6，8公斤装,Nupec,4.8,15711,1152.22,7000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V4AOM,True
3,B00NABTG60,亚马逊倍思宠物粪便袋 带分配器 黑色 600只（40卷）升级防漏 无香 含牵引绳夹,Amazon Basics,4.9,235159,262.87,1000,亚马逊官方(上月购买量),2017-09-11,106,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00NABTG60,True
4,B08JSG74RV,Ganador Premium Superfoods 20kg，中大型成年犬粮,Ganador,4.6,2889,905.0,4000,亚马逊官方(上月购买量),2020-09-22,70,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B08JSG74RV,True
5,B0CYXKNB1Y,MESVIER 狗胸背带 中大型小型犬通用 配1.5米牵引绳 可调节反光透气 防爆冲 适合散步旅行训练 宠物用品,MESVIER,4.7,9548,249.0,300,亚马逊官方(上月购买量),2024-04-13,27,43,MESVIER,品牌方,,,FBA,https://www.amazon.com.mx/dp/B0CYXKNB1Y,True
6,B01MQFPHMN,佳纳多优质成犬粮20公斤，小型犬，黑色。包装可能不同。,Ganador,4.7,2573,888.0,3000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01MQFPHMN,True
7,B0153V49XO,Nupec成年小型犬狗粮，含Omega 3和6，2公斤装,Nupec,4.8,8505,355.18,3000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V49XO,True
8,B01N0AG6OF,Ganador Premium 幼犬粮 20kg，中大型犬种。包装可能不同。,Ganador,4.7,4779,868.0,2000,亚马逊官方(上月购买量),2016-11-08,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N0AG6OF,True
9,B0CXYTC8WM,赢家狗干粮20kg,Ganador,4.7,1683,705.0,4000,亚马逊官方(上月购买量),2024-03-13,28,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0CXYTC8WM,True
10,B018M8AR90,Dry Pet 狗训练垫30片装,Dry Pet,4.6,3743,159.81,1000,亚马逊官方(上月购买量),2016-05-06,122,5,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B018M8AR90,True
11,B09R93SSD5,Purina Beneful成年犬全犬种亮丽健康三文鱼味10kg,Purina,4.8,4293,560.0,3000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R93SSD5,True
12,B01N30FXOM,冠能小型迷你成犬粮 牛肉鸡肉味 7.5kg,Dog Chow,4.8,4901,336.0,2000,亚马逊官方(上月购买量),2017-01-24,114,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01N30FXOM,True
13,B0D43R8KKL,Fancy Pets MS 三文鱼油 250ml（狗猫用）- Omega 3 含DHA和EPA - 健康皮肤、亮丽毛发、强健免疫系统,Medical Solutions,4.5,2018,149.0,1000,亚马逊官方(上月购买量),2024-05-13,26,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0D43R8KKL,True
14,B0153V41AU,Nupec成年犬粮含Omega3和6，15公斤装,Nupec,4.8,7960,1728.98,3000,亚马逊官方(上月购买量),2015-09-01,131,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V41AU,True
15,B0153V7ZTO,普瑞纳冠能成年中大型犬粮牛肉鸡肉味7.5kg,Dog Chow,4.8,4102,336.0,2000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V7ZTO,True
16,B07XZHXZW4,HI MULTI PRO 成犬优质狗粮 25kg，含益生菌和高生物价值蛋白质,HI MULTI PRO,4.6,6543,1154.0,1000,亚马逊官方(上月购买量),2015-10-07,129,3,ALBAPESA,第三方(墨西哥),墨西哥,墨西哥/36900/瓜纳华托/佩尼亚莫/KM 63 卡雷特拉 伊拉普阿托 - 拉彼达,FBA,https://www.amazon.com.mx/dp/B07XZHXZW4,True
17,B003CL6Q84,希尔思科学膳食成年小型犬粮（鸡肉味）7kg，帮助构建长期健康基础，呵护皮肤与毛发。,Hill's Science Diet,4.8,25314,960.0,1000,亚马逊官方(上月购买量),2013-07-08,156,2,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B003CL6Q84,True
18,B0155E0168,Fancy Pets 不锈钢狗碗 8盎司（227克）,Fancy Pets,4.7,6641,40.5,300,亚马逊官方(上月购买量),2016-01-22,126,7,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0155E0168,True
19,B0BBSG79MX,Pedigree 高蛋白成年犬粮，牛肉鸡肉口味，24包，每包85克，含蛋白质、抗氧化剂和维生素E,Pedigree,4.8,1147,196.39,1000,亚马逊官方(上月购买量),2022-08-24,47,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0BBSG79MX,True
20,B0CF63JSS9,Dogelthy 纯三文鱼油450ml，犬用Omega-3鱼油补充剂，每份含300毫克EPA+DHA，适用于狗粮或生骨肉饮食。,Dogelthy,4.7,3013,579.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/五月五日 #15 内6,FBA,https://www.amazon.com.mx/dp/B0CF63JSS9,True
21,B01FKNX3FU,成犬小型犬粮，20kg，蓝色,Ganador,4.8,1523,687.0,1000,亚马逊官方(上月购买量),2016-11-24,116,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FKNX3FU,True
22,B0B1W1ZZGQ,Churu Inaba 猫用奶油零食，四种金枪鱼混合口味，低卡路里，50支装（每支14克）,INABA,4.9,1515,680.0,2000,亚马逊官方(上月购买量),2023-10-29,33,18,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0B1W1ZZGQ,True
23,B0CF4BLG83,Dogelthy Mobility 软骨保护补充剂，含葡萄糖胺、软骨素和II型胶原蛋白UCII粉末，用于干粮或生骨肉饮食，270克（鱼味）。,Dogelthy,4.6,2089,1067.0,1000,亚马逊官方(上月购买量),2023-08-09,35,3,Dogelthy,品牌方(墨西哥),墨西哥,墨西哥/45019/哈利斯科/萨波潘/圣胡安-德奥科坦/5月5日街15号内6,FBA,https://www.amazon.com.mx/dp/B0CF4BLG83,True
24,B09R916GQ3,普瑞纳宝优成犬牛肉味10公斤,WeTap,4.8,2644,564.0,2000,亚马逊官方(上月购买量),2022-01-26,54,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B09R916GQ3,True
25,B07TGKCWWP,Dry Pet 狗用尿不湿 CH 12片,Fancy Pets,4.5,1451,121.2,300,亚马逊官方(上月购买量),2019-06-25,85,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07TGKCWWP,True
26,B0CG33JYQC,小型、中型及大型犬安全胸背带含1.5米牵引绳（紫红色，M）,UNA MASCOTA,4.6,1280,219.0,,,2023-08-19,35,64,COMERSTAT,第三方,,,FBA,https://www.amazon.com.mx/dp/B0CG33JYQC,True
27,B071HPBSHV,Amazon Basics 公狗纸尿裤，30片装，小号，超强吸收一次性包裹，安全贴合，防漏舒适,Amazon Basics,4.5,32198,488.34,600,亚马逊官方(上月购买量),2017-10-23,105,4,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B071HPBSHV,True
28,B0153V43UI,Nupec成年犬粮，含Omega 3和6，5公斤装,Nupec,4.8,4010,721.11,600,亚马逊官方(上月购买量),2015-09-01,131,3,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0153V43UI,True
29,B00EJXIZ60,Earth Rated 狗粪袋，120个装（8卷），无味,Earth Rated,4.9,16905,89.5,1000,亚马逊官方(上月购买量),2014-02-23,149,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B00EJXIZ60,True
30,B01FVRF920,Barkys 80136100614 肉干棒 1千克，1件，小号,BARKYS,4.8,1558,199.0,1000,亚马逊官方(上月购买量),2016-05-19,122,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B01FVRF920,True
31,B01FUDI7OC,Nupec体重控制犬粮，针对超重或肥胖犬，15公斤装。,Nupec,4.8,3934,2219.0,1000,亚马逊官方(上月购买量),2016-05-18,122,3,La tienda de sugar,第三方(墨西哥),墨西哥,墨西哥/01789/墨西哥城/阿尔瓦罗·奥夫雷贡/罗慕洛·奥法里尔 7 科洛尼亚奥利瓦尔德洛斯帕德雷斯,FBA,https://www.amazon.com.mx/dp/B01FUDI7OC,True
32,B0971C67PW,Purina Fancy Feast 成猫小片肉牛肉味 85g×12包,WeTap,4.8,410,198.0,600,亚马逊官方(上月购买量),2021-06-10,61,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B0971C67PW,True
33,B0CK32S653,Waggys Bites 天然狗零食 柔软无谷物高蛋白 红薯三文鱼味 美味健康 训练佳品 100软嚼块,Waggys,4.6,634,189.0,1000,亚马逊官方(上月购买量),2023-09-28,34,2,Waggy´s!,品牌方(墨西哥),墨西哥,墨西哥/44520/哈利斯科/瓜达拉哈拉/拉萨罗·卡德纳斯 3454,FBA,https://www.amazon.com.mx/dp/B0CK32S653,True
34,B016C6EJ4S,Amazon Basics 狗狗吸收垫，5层防漏，速干，训练用，71×86厘米超大号，40片装，蓝白,Amazon Basics,4.5,216919,492.92,300,亚马逊官方(上月购买量),2025-01-11,18,6,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B016C6EJ4S,True
35,B0BQX4HLCS,Raganet，中小型宠物便携围栏，58厘米高x78厘米长宠物屋，牛津布防水，室内外可用，安全耐用（灰色）,Raganet,4.6,1055,218.99,600,亚马逊官方(上月购买量),2022-12-23,43,2,Raga Basics,第三方(墨西哥),墨西哥,墨西哥/52790/墨西哥/韦克斯基卢坎德德戈亚多/多斯里奥斯/比森特·格雷罗大道,FBA,https://www.amazon.com.mx/dp/B0BQX4HLCS,True
36,B07PY5FGR1,Cloralex宠物用除臭剂 3.75升,Cloralex,4.8,2474,85.0,1000,亚马逊官方(上月购买量),,,1,Amazon México,亚马逊自营,,,亚马逊自营配送,https://www.amazon.com.mx/dp/B07PY5FGR1,True
37,B01FUDI7F6,Nupec老年犬狗粮，15公斤装,Nupec,4.8,5191,2019.0,1000,亚马逊官方(上月购买量),2016-05-18,122,3,La tienda de sugar,第三方(墨西哥),墨西哥,墨西哥/01789/墨西哥城/阿尔瓦罗·奥夫雷贡/罗慕洛·奥法里尔7号 奥利瓦尔德洛斯帕德雷斯社区,FBA,https://www.amazon.com.mx/dp/B01FUDI7F6,True
